Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
122,21,25,18,31,77,20,53,45,27,22,78,56,54,16,69,55,2,57,59,24,x3,evens
123,14,79,52,39,3,62,16,48,56,73,54,60,42,47,25,74,31,1,61,33,x3,tails
124,55,39,72,38,78,69,47,61,35,44,21,48,42,65,16,3,22,56,53,18,x2,tails
125,62,44,45,58,25,39,43,77,71,35,76,36,52,20,31,16,24,41,37,51,reg,tails
126,74,48,24,76,50,7,12,58,59,1,61,29,37,33,44,69,78,22,66,54,reg,tails
127,52,19,79,48,61,37,40,75,14,32,12,26,33,64,10,73,15,44,58,5,reg,heads
128,66,37,20,36,33,8,64,52,7,38,75,17,6,65,14,13,53,56,19,22,x2,heads
129,31,71,76,13,43,46,22,79,56,49,20,72,36,78,63,74,24,62,44,3,reg,tails
130,18,73,12,55,16,39,53,65,71,1,72,52,37,42,24,11,13,35,25,78,reg,heads
131,6,26,18,79,12,61,21,60,78,76,38,40,15,58,11,2,35,7,33,51,reg,heads
132,12,4,28,11,63,7,80,2,57,46,79,66,60,77,40,62,15,17,45,25,x3,evens
133,48,64,15,52,17,9,26,69,56,18,76,62,38,78,37,43,57,28,60,25,x2,tails
134,72,64,62,77,51,50,18,22,45,53,37,21,33,56,80,42,68,59,9,6,reg,tails
135,42,35,20,41,55,47,2,1,50,58,13,7,37,61,76,28,23,45,11,71,reg,evens
136,63,37,41,31,5,36,21,73,49,35,7,30,24,51,58,17,28,39,12,74,x2,heads
137,63,78,10,4,45,74,7,8,79,80,71,24,25,70,43,19,75,13,16,62,x5,tails
138,1,62,27,68,54,19,17,43,70,9,75,31,4,39,40,71,22,37,48,11,x3,heads
139,65,48,64,38,80,20,1,41,75,4,7,44,10,36,37,21,14,2,74,16,reg,heads
140,48,49,7,17,2,30,67,21,8,42,33,38,40,46,18,36,65,11,60,22,x2,heads
141,55,15,45,60,3,19,52,13,4,74,47,66,50,51,57,40,36,7,37,26,x3,evens
142,21,75,5,19,45,14,60,25,68,1,41,55,11,71,30,37,56,31,70,58,reg,evens
143,77,74,38,15,68,80,53,63,54,64,25,32,39,45,29,6,40,26,42,65,x2,tails
144,14,42,17,53,9,62,59,3,28,7,41,13,54,79,38,80,78,60,22,36,x2,evens
145,54,43,70,77,25,20,7,49,57,4,73,30,9,65,16,69,10,40,38,44,reg,evens
146,41,5,79,10,33,60,48,69,43,46,74,51,20,55,50,62,9,37,3,24,x2,tails
147,77,24,76,2,29,23,6,37,61,33,31,63,20,48,38,79,66,72,22,18,x2,heads
148,50,8,70,16,36,60,7,24,39,33,80,61,78,30,65,58,75,35,63,73,x2,tails
149,49,68,48,66,20,51,40,41,42,36,56,55,62,14,16,6,57,30,31,75,x3,tails
150,32,53,59,30,52,78,7,41,56,15,80,48,49,42,54,73,35,70,40,12,reg,tails
151,21,78,32,20,67,40,58,45,56,33,76,31,59,53,77,27,17,51,57,44,reg,tails
152,40,64,45,38,78,29,44,67,36,7,53,14,54,47,75,25,37,58,71,3,x2,tails
153,39,51,59,46,71,74,30,9,43,67,68,54,23,21,41,65,45,13,36,53,reg,tails
154,25,43,65,36,63,18,71,6,60,19,46,52,76,31,11,39,29,47,55,1,reg,evens
155,34,78,20,76,8,26,24,13,4,49,69,54,72,14,36,51,43,22,46,80,x2,evens
156,13,34,35,36,66,29,39,47,75,37,65,23,15,19,18,80,45,62,52,27,x2,heads
157,60,17,46,10,66,29,21,14,15,57,71,79,67,59,38,58,72,63,64,19,reg,tails
158,22,1,15,12,34,50,66,21,73,47,56,18,58,54,35,48,17,27,75,70,x3,evens
159,19,20,53,38,12,9,51,62,26,56,47,75,44,80,24,76,5,66,37,11,x3,evens
160,44,10,77,51,29,57,28,48,41,11,1,71,62,73,22,4,37,50,31,13,x2,evens
161,57,73,42,40,41,12,31,72,37,10,24,60,58,43,39,13,15,6,25,59,x3,heads
162,65,1,39,35,68,58,79,32,22,77,71,63,21,75,78,57,29,54,72,30,x3,tails
163,54,29,16,59,66,55,33,19,36,32,47,65,13,58,30,60,31,78,62,64,reg,tails
164,56,57,30,71,13,59,27,51,45,31,50,11,20,64,61,48,40,18,70,7,x3,tails
165,61,30,34,6,4,9,41,44,57,75,7,23,8,28,73,65,42,43,16,31,reg,heads
166,20,68,7,62,76,16,27,1,21,58,60,8,67,74,65,40,41,78,13,34,x2,evens
167,12,66,59,10,24,67,58,18,33,45,69,62,72,5,37,51,13,46,9,2,x4,evens
168,58,69,60,7,41,59,23,32,18,61,75,45,77,29,54,55,73,17,2,4,x3,tails
169,74,28,58,6,53,49,43,44,20,32,29,56,62,45,2,8,27,9,71,17,reg,evens
170,12,78,30,59,69,37,38,43,32,9,46,34,66,64,73,26,15,3,50,44,reg,evens
171,52,62,45,78,35,17,80,20,7,75,69,46,74,72,48,31,11,76,21,2,x5,tails
172,61,73,54,53,44,79,9,46,64,28,38,7,76,20,65,33,59,25,67,16,x2,tails
173,70,72,30,52,36,24,43,60,20,27,33,75,48,21,18,53,37,65,10,19,reg,heads
